In 1;In 2;In 3;In 4;In 5;In 6;In 7;In 8;Out 1;Out 2;Out 3;Out 4
8;7;9;5;6;13;104;7;0;1;0;0
65;4;2;5;1;1;126;13;0;1;0;0
74;11;3;3;2;13;127;17;0;1;0;0
69;11;1;2;5;34;126;18;0;1;0;0
63;18;1;2;2;16;109;83;0;1;0;0
55;25;16;20;13;6;109;7;0;1;0;0
54;0;11;3;3;29;126;95;0;1;0;0
52;19;12;2;4;86;101;22;0;1;0;0
46;18;11;0;0;6;96;115;0;1;0;0
42;21;10;5;3;7;126;1;0;1;0;0
41;8;0;3;1;6;26;111;0;1;0;0
41;15;27;6;6;12;127;27;0;1;0;0
39;36;8;0;7;3;103;6;0;1;0;0
38;23;6;1;4;3;127;7;0;1;0;0
32;11;3;2;2;1;104;33;0;1;0;0
32;6;1;2;1;27;101;31;0;1;0;0
32;5;2;3;5;20;121;5;0;1;0;0
30;16;7;5;9;14;107;64;0;1;0;0
30;15;4;6;5;24;127;63;0;1;0;0
27;5;1;1;3;10;109;36;0;1;0;0
26;20;10;2;1;7;108;10;0;1;0;0
25;27;5;1;1;30;104;63;0;1;0;0
25;9;10;4;3;7;107;37;0;1;0;0
23;9;5;6;2;5;127;29;0;1;0;0
23;12;1;2;1;8;110;17;0;1;0;0
22;12;5;2;1;13;103;71;0;1;0;0
22;9;9;4;5;8;101;34;0;1;0;0
20;23;12;3;3;29;127;70;0;1;0;0
15;11;3;2;6;20;89;104;0;1;0;0
14;25;1;0;1;7;127;35;0;1;0;0
8;14;1;2;3;2;106;7;0;1;0;0
7;1;1;2;2;3;108;47;0;1;0;0
5;11;17;1;1;1;109;12;0;1;0;0
3;2;1;2;0;1;121;32;0;1;0;0
2;22;4;3;2;20;127;29;0;1;0;0
1;3;1;3;4;30;79;118;0;1;0;0
1;7;3;1;0;3;105;3;0;1;0;0
29;27;21;3;3;17;102;77;0;1;0;0
29;4;8;7;1;14;114;64;0;1;0;0
